19
time,latitude,longitude,elevation
2017-08-13T08:52:26.000Z,60.385390,5.217217,7.0
2017-08-13T08:53:00.000Z,60.385588,5.217857,11.1
2017-08-13T08:53:57.000Z,60.385398,5.216950,10.5
2017-08-13T08:55:55.000Z,60.383428,5.219823,5.8
2017-08-13T08:57:57.000Z,60.376988,5.227082,5.2
2017-08-13T09:00:06.000Z,60.370383,5.232050,18.6
2017-08-13T09:02:07.000Z,60.359813,5.237472,13.6
2017-08-13T09:04:11.000Z,60.361153,5.243403,6.0
2017-08-13T09:06:11.000Z,60.367743,5.249715,11.2
2017-08-13T09:08:13.000Z,60.376095,5.257007,11.2
2017-08-13T09:10:14.000Z,60.383280,5.270283,17.5
2017-08-13T09:12:16.000Z,60.388325,5.276237,9.8
2017-08-13T09:14:17.000Z,60.388958,5.290662,13.6
2017-08-13T09:16:19.000Z,60.384627,5.304172,14.4
2017-08-13T09:16:51.000Z,60.384463,5.304338,23.6
2017-08-13T09:17:28.000Z,60.384628,5.304407,17.4
2017-08-13T09:18:01.000Z,60.384532,5.304157,10.8
2017-08-13T09:19:06.000Z,60.384425,5.303945,8.6
2017-08-13T09:20:21.000Z,60.383105,5.309632,14.6
