423
time,lat,lon,elevation,accuracy,bearing,speed,satellites,provider,hdop,vdop,pdop,geoidheight,ageofdgpsdata,dgpsid,activity,battery,annotation
2017-09-08T13:49:50.000Z,60.377625,5.328243,56.2,15.1,158.25,7.297732,0,gps,99.99,99.99,99.99,,,,,98.0,
2017-09-08T13:50:01.000Z,60.377940,5.327957,18.2,3.0,175.26,0.16522583,14,gps,0.74,0.75,1.06,,,,,98.0,
2017-09-08T13:50:54.000Z,60.377845,5.328030,6.6,2.4,141.17,3.489302,17,gps,0.64,0.73,0.97,,,,,97.0,
2017-09-08T13:51:05.000Z,60.377522,5.329218,9.2,3.0,114.5,7.962753,16,gps,0.71,1.21,1.41,,,,,97.0,
2017-09-08T13:51:16.000Z,60.377170,5.330782,10.1,3.3,114.83,8.01371,16,gps,0.71,1.21,1.41,,,,,97.0,
2017-09-08T13:51:27.000Z,60.376908,5.332230,9.5,3.5,106.01,7.145889,16,gps,0.71,1.21,1.41,,,,,97.0,
2017-09-08T13:51:38.000Z,60.376713,5.333428,10.6,3.8,109.49,4.7833138,16,gps,0.69,0.77,1.03,,,,,97.0,
2017-09-08T13:51:49.000Z,60.376448,5.334072,11.4,3.5,142.96,3.2679713,17,gps,,,,,,,,97.0,
2017-09-08T13:52:00.000Z,60.376063,5.334023,17.3,3.4,173.04,4.0549817,18,gps,0.61,0.98,1.16,,,,,97.0,
2017-09-08T13:52:11.000Z,60.375777,5.334868,24.0,3.3,112.31,6.2492423,17,gps,0.66,1.08,1.27,,,,ON_BICYCLE,97.0,
2017-09-08T13:52:22.000Z,60.375480,5.335830,31.2,3.3,140.38,4.93876,17,gps,0.66,1.08,1.27,,,,,97.0,
2017-09-08T13:52:33.000Z,60.375017,5.336097,38.3,3.5,166.13,3.350327,17,gps,0.66,1.08,1.27,,,,,97.0,
2017-09-08T13:52:44.000Z,60.374648,5.336258,47.7,3.6,170.43,3.2756922,17,gps,0.66,1.08,1.27,,,,,97.0,
2017-09-08T13:52:55.000Z,60.374255,5.336447,53.8,3.4,162.62,3.6349683,17,gps,0.66,1.08,1.27,,,,,97.0,
2017-09-08T13:53:06.000Z,60.373877,5.336645,61.2,3.5,165.89,3.3106933,17,gps,0.66,1.09,1.27,,,,,97.0,
2017-09-08T13:53:17.000Z,60.373507,5.336798,68.5,3.4,163.37,3.3915048,18,gps,0.62,0.98,1.16,,,,,97.0,
2017-09-08T13:53:28.000Z,60.373100,5.336995,72.7,3.5,167.24,4.199619,17,gps,,,,,,,,97.0,
2017-09-08T13:53:39.000Z,60.372702,5.337145,78.1,3.6,168.17,3.9329925,17,gps,0.66,1.09,1.27,,,,,97.0,
2017-09-08T13:53:50.000Z,60.372253,5.337318,81.1,3.5,163.46,3.5567305,17,gps,0.66,1.09,1.27,,,,,97.0,
2017-09-08T13:54:01.000Z,60.371575,5.337375,59.8,2.4,174.95,5.2970066,18,gps,0.62,0.98,1.16,,,,,97.0,
2017-09-08T13:54:12.000Z,60.371140,5.337445,56.1,2.4,164.5,1.2487161,18,gps,,,,,,,,97.0,
2017-09-08T13:55:19.000Z,60.371025,5.337478,54.4,3.0,164.5,0.0,18,gps,0.61,0.70,0.93,,,,,97.0,
2017-09-08T13:55:30.000Z,60.370467,5.337705,55.1,3.9,170.29,6.726905,17,gps,,,,,,,,97.0,
2017-09-08T13:55:40.000Z,60.369763,5.338027,55.9,4.3,168.33,7.734216,16,gps,0.70,1.15,1.34,,,,,97.0,
2017-09-08T13:55:51.000Z,60.369077,5.338388,56.8,4.4,167.26,6.1746078,16,gps,0.70,1.15,1.34,,,,,97.0,
2017-09-08T13:56:02.000Z,60.368430,5.338723,57.5,4.4,167.36,6.4185863,15,gps,0.77,1.24,1.46,,,,,97.0,
2017-09-08T13:56:13.000Z,60.367703,5.339110,57.8,4.4,161.78,7.536048,16,gps,0.71,1.14,1.35,,,,,97.0,
2017-09-08T13:56:24.000Z,60.366938,5.339562,58.4,4.6,161.71,8.133126,15,gps,0.83,1.35,1.58,,,,ON_BICYCLE,97.0,
